Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
14-Nov-17,California,Corning,17357 Stagecoach Rd,6,12,N/A
14-Nov-17,California,Richmond,900 Block of View Dr,2,2,N/A
12-Nov-17,Indiana,Gary,4601 Melton Rd,0,7,N/A
12-Nov-17,California,Fresno,S Calvin Ave,0,5,N/A
12-Nov-17,Georgia,Atlanta,50 Lower Alabama St,2,2,N/A
11-Nov-17,Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3,N/A
11-Nov-17,Louisiana,New Orleans,Forstall Street and Burgundy Street,1,5,N/A
11-Nov-17,North Carolina,Fayetteville,2835 Bragg Blvd,1,5,N/A
10-Nov-17,Ohio,Dayton (Trotwood),193 Olive Rd,0,4,N/A
9-Nov-17,Pennsylvania,Philadelphia,1800 block of Ringgold,0,4,N/A
5-Nov-17,Texas,Sutherland Springs,216 4th St,27,20,N/A
4-Nov-17,Texas,Austin,N Lamar Blvd and Masterson Pass,0,4,N/A
4-Nov-17,Ohio,Youngstown,2810 Market St,0,4,N/A
4-Nov-17,California,Santa Monica,1515 Ocean Avenue,1,3,N/A
3-Nov-17,Minnesota,Minneapolis,10th Ave S and E 24th St,0,4,N/A
3-Nov-17,California,Gardena,E 163rd St and S Main St,0,4,N/A
3-Nov-17,New York,Buffalo,147 Roosevelt Ave,0,4,N/A
3-Nov-17,Louisiana,Lacombe,27600 block of Mirmar Street,1,4,N/A
29-Oct-17,Texas,Austin,5500 block of Ave F,1,3,N/A
28-Oct-17,Ohio,Toledo,1327 N Huron St,0,4,N/A
28-Oct-17,Virginia,Petersburg,N Sycamore St and Franklin,1,3,N/A
27-Oct-17,Kentucky,Louisville,1716 Prentice St,0,6,N/A
27-Oct-17,California,San Francisco,1100 block of Fillmore,0,4,N/A
23-Oct-17,California,Clearlake Oaks,13000 block of Anchor Village,2,3,N/A
22-Oct-17,Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4,N/A
22-Oct-17,Alabama,Lanett,1606 19th St Sw,2,7,N/A
21-Oct-17,Florida,Jacksonville,164 E Eubanks St,0,4,N/A
21-Oct-17,Tennessee,Nashville,1277 12th Ave S,0,4,N/A
21-Oct-17,Pennsylvania,Chester,1200 block of W Carlas Ln,0,4,N/A
21-Oct-17,Florida,Tampa,400 Block of E Nordica St,0,4,N/A
18-Oct-17,Maryland,Edgewood,2111 Emmorton Park Rd,3,3,N/A
17-Oct-17,New York,Brooklyn,181 Martense St,0,4,N/A
16-Oct-17,Mississippi,Meridian,5th Street,1,3,N/A
15-Oct-17,Texas,Houston,6233 Gulfton St,2,2,N/A
15-Oct-17,Arizona,Phoenix,107th Ave and Camelback Rd,1,3,N/A
12-Oct-17,California,Aliso Viejo,6 Asbury Ct,2,2,N/A
11-Oct-17,Ohio,Pedro,15497 SR 93,4,0,N/A
10-Oct-17,California,San Francisco,25th St and Treat Ave,0,4,N/A
9-Oct-17,Texas,Houston,3352 Old Spanish Trail,0,5,N/A
7-Oct-17,Arizona,Phoenix,87th Ave and Thomas Rd,0,4,N/A
6-Oct-17,Illinois,Chicago,8000 block of S Marshfield,0,5,N/A
5-Oct-17,Arizona,Casa Grande,400 block of W 13th Street,4,0,N/A
3-Oct-17,Florida,Miami,2051 NW 65th St,0,4,N/A
1-Oct-17,Kansas,Lawrence,1000 block of Massachusetts St,3,2,N/A
1-Oct-17,Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441,N/A
30-Sep-17,Tennessee,Memphis,800 block of Kerr Avenue,1,3,N/A
28-Sep-17,Louisiana,New Orleans,2001 N Rocheblave St,1,3,N/A
26-Sep-17,Pennsylvania,Philadelphia,100 block of Pastorius St,1,3,N/A
26-Sep-17,Tennessee,Memphis,2531 Chelsea Ave,0,4,N/A
26-Sep-17,Maryland,Baltimore,3200 block of Lyndale Ave,2,2,N/A
24-Sep-17,Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4,N/A
24-Sep-17,Tennessee,Antioch,3890 Pin Hook Rd,1,8,N/A
24-Sep-17,New York,Syracuse,1226 E Fayette St,0,4,N/A
24-Sep-17,New Jersey,Mays Landing,6000 block of Hoover Dr,1,3,N/A
23-Sep-17,California,Bakersfield,818 Real Rd,1,4,N/A
23-Sep-17,Illinois,Danville,Seminary St and Jackson St,0,5,N/A
23-Sep-17,Connecticut,Hartford,1164 Albany Ave,2,2,N/A
20-Sep-17,Indiana,Gary,4300 block of 23rd Ct,0,5,N/A
17-Sep-17,Michigan,Detroit,5000 block of Stanton Street,1,3,N/A
17-Sep-17,Virginia,Petersburg,300 Mistletoe St,1,4,N/A
16-Sep-17,South Carolina,Columbia,920 Lady Street,0,8,N/A
13-Sep-17,Tennessee,Memphis,1000 block of Morehead St,1,5,N/A
13-Sep-17,Washington,Rockford,14626 S Jackson Rd,1,3,N/A
13-Sep-17,Pennsylvania,York,400 block of S Duke St,0,4,N/A
13-Sep-17,Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4,N/A
10-Sep-17,Texas,Plano,1712 West Spring Creek Parkway,9,1,N/A
10-Sep-17,Louisiana,New Orleans,2101 N Claiborne Ave,1,3,N/A
9-Sep-17,Alabama,Selma,Kings Bend Road,0,4,N/A
6-Sep-17,Illinois,Chicago,2700 block of Madison,0,4,N/A
4-Sep-17,Illinois,Bellwood,1000 block of Bellwood Ave,0,4,N/A
3-Sep-17,California,Inglewood,10100 block of S Firmona Ave,2,3,N/A
2-Sep-17,Kentucky,Louisville,8008 Watterson Trl,0,4,N/A
2-Sep-17,Illinois,Chicago,8300 block of S Hermitage,1,3,N/A
28-Aug-17,New Mexico,Clovis,701 N Main St,2,4,N/A
27-Aug-17,California,Sacramento,7760 24th St,1,4,N/A
27-Aug-17,Indiana,Evansville,1127 Chestnut St,1,3,N/A
25-Aug-17,Florida,Gainesville,1600 NE 8th Ave,0,4,N/A
24-Aug-17,Missouri,Saint Louis,10400 block of Balmoral Dr,4,0,N/A
22-Aug-17,Illinois,Chicago,300 block of N Central Ave,0,4,N/A
21-Aug-17,New Jersey,Newark,Fabyan Place,0,4,N/A
21-Aug-17,North Carolina,Whitakers,980 Fishing Creek Rd,4,0,N/A
21-Aug-17,New Jersey,Newark,700 block of S 19th St,1,3,N/A
21-Aug-17,Maryland,Baltimore,Cottage Avenue and Park Heights Avenue,1,3,N/A
21-Aug-17,Tennessee,Memphis,262 Decatur St,0,4,N/A
20-Aug-17,New York,Brooklyn,100th St and Ave M,0,4,N/A
20-Aug-17,Illinois,Chicago,11901 S Loomis St,2,5,N/A
19-Aug-17,Ohio,Cleveland,11143 Superior Ave,1,4,N/A
16-Aug-17,New York,Wyandanch,Merritt Ave and 15th St,0,4,N/A
14-Aug-17,California,North Hollywood,Morrison St and Klump Ave,2,2,N/A
13-Aug-17,Pennsylvania,Philadelphia,39th St and Melon St,0,5,N/A
13-Aug-17,California,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4,N/A
13-Aug-17,Virginia,Suffolk,8700 block of Quay Rd,0,4,N/A
12-Aug-17,Missouri,Saint Louis,12310 Bellefontaine Rd,1,3,N/A
8-Aug-17,Illinois,Chicago,1 block of East 37th St,1,6,N/A
6-Aug-17,New York,Bronx,Wickham Ave,0,6,N/A
6-Aug-17,New York,Bronx,Unionport Rd,0,4,N/A
6-Aug-17,California,Oakland,1000 block of 106th Avenue,0,7,N/A
5-Aug-17,New Jersey,Lakewood,900 block of Brook Road,0,4,N/A
5-Aug-17,South Carolina,Allendale,300 block of Ellis St,1,3,N/A
5-Aug-17,Florida,Tallahassee,1939 W Tennessee St,1,3,N/A
4-Aug-17,Montana,Lodge Grass,200 block of North Helen Street,3,2,N/A
3-Aug-17,District of Columbia,Washington,3426 18th St NE,1,3,N/A
2-Aug-17,Maryland,Baltimore,900 block of N Broadway,0,4,N/A
1-Aug-17,Illinois,Chicago,800 block of N Monticello Ave,0,4,N/A
1-Aug-17,Washington,Toppenish,8000 Block of Lateral C Rd,0,6,N/A
1-Aug-17,California,Fresno,Mariposa St and A St,0,7,N/A
31-Jul-17,Illinois,Decatur,Jasper St and Main St,0,4,N/A
30-Jul-17,Virginia,Norfolk,1500 block of Azalea Garden Rd,1,5,N/A
30-Jul-17,Texas,El Paso,1810 George Dieter Dr,1,3,N/A
29-Jul-17,New York,Buffalo,200 block of Carl St,1,4,N/A
29-Jul-17,North Carolina,Salisbury,115 W Fisher St,2,3,N/A
28-Jul-17,Delaware,Wilmington,400 block of N Washington St,0,4,N/A
27-Jul-17,Illinois,Chicago,2000 block of E 71st St,1,4,N/A
26-Jul-17,North Carolina,High Point,2111 E. Green Drive,1,6,N/A
25-Jul-17,Florida,Jacksonville,1040 Golfair Boulevard,1,3,N/A
23-Jul-17,Illinois,Chicago,1500 block of East 82nd St,1,3,N/A
23-Jul-17,Louisiana,Baton Rouge,10360 Ave H,0,4,N/A
22-Jul-17,Ohio,Cincinnati,130 E Clifton Ave,0,5,N/A
19-Jul-17,Virginia,Richmond,2300 block of Bethel St,0,5,N/A
19-Jul-17,California,Los Angeles,Imperial Hwy and Broadway,1,3,N/A
18-Jul-17,Wisconsin,Milwaukee,3000 block of N 39th St,0,4,N/A
18-Jul-17,New Jersey,Trenton,Hewitt St and Division St,1,3,N/A
18-Jul-17,Arizona,El Mirage,NW Grand Ave and W Thunderbird Rd,0,4,N/A
15-Jul-17,Pennsylvania,Philadelphia,21st and Fitzwater,1,3,N/A
15-Jul-17,Illinois,Chicago,12200 block of S Throop St,0,4,N/A
9-Jul-17,Virginia,Lawrenceville,500 block of Sturgeon Rd,0,7,N/A
8-Jul-17,Illinois,Alton,700 block of Oakwood Ave,0,4,N/A
8-Jul-17,Ohio,Cincinnati,9917 Capstan Dr,1,8,N/A
6-Jul-17,Mississippi,Meridian,Eighth Ave,0,4,N/A
5-Jul-17,Georgia,Savannah,Jefferson Street and West St. Julian Street,0,4,N/A
5-Jul-17,Illinois,Chicago (Roseland),11000 block of S Eberhart,2,2,N/A
5-Jul-17,Maine,Madison,300 block of Russell Rd,4,1,N/A
4-Jul-17,Florida,Orlando (Pine Castle),501 W Lancaster Rd,0,4,N/A
4-Jul-17,Virginia,Hampton,500 block of Patterson Ave,1,4,N/A
4-Jul-17,North Carolina,Raleigh,105 E South St,1,3,N/A
3-Jul-17,Alabama,Prattville,112 US 82,3,1,N/A
3-Jul-17,Michigan,Pontiac,50 block of Thorpe St,1,3,N/A
2-Jul-17,New Jersey,Jersey City,Wilkinson Avenue,0,4,N/A
2-Jul-17,South Carolina,Greenwood,SC 72 Bypass,0,4,N/A
1-Jul-17,Arkansas,Little Rock,220 W 6th St,0,25,N/A
1-Jul-17,Illinois,Momence,2727 S 13000 Rd E,0,4,N/A
1-Jul-17,New Jersey,Newark,Lincoln Park and Pennsylvania Avenue,2,2,N/A
1-Jul-17,California,Oakland,3200 Humboldt Ave,0,4,N/A
30-Jun-17,New York,Bronx,1650 Grand Concourse,2,6,N/A
27-Jun-17,Illinois,Chicago,200 block of S Lotus,0,5,N/A
25-Jun-17,District of Columbia,Washington,5900 block of Southern Ave SE,0,4,N/A
25-Jun-17,Missouri,Saint Louis,5000 block of Thekla Ave,1,3,N/A
24-Jun-17,Florida,Fort Lauderdale,2335 NW 16th Ct,1,4,N/A
24-Jun-17,New York,New York (Manhattan),114th St and Manhattan Ave,0,5,N/A
24-Jun-17,New Jersey,Willingboro,Pastoral Lane,0,4,N/A
22-Jun-17,Georgia,Atlanta,1100 block of Osborne Street,1,6,N/A
18-Jun-17,Missouri,Saint Louis,1900 block of N 14th St,3,2,N/A
18-Jun-17,District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4,N/A
18-Jun-17,Illinois,Chicago,3300 block of W Crystal St,0,4,N/A
18-Jun-17,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7,N/A
17-Jun-17,Illinois,Chicago,1 block of N Latrobe,0,4,N/A
17-Jun-17,Ohio,Columbus,6252 Busch Blvd,1,4,N/A
15-Jun-17,Virginia,Richmond,4053 Old Brook Road,1,3,N/A
15-Jun-17,New Mexico,La Madera,491 NM 111,5,0,N/A
14-Jun-17,Virginia,Alexandria,420 E Monroe Ave,1,5,N/A
14-Jun-17,Ohio,Canton,14th St NE and Gibbs Ave NE,0,4,N/A
14-Jun-17,California,San Francisco,720 San Bruno,4,2,N/A
13-Jun-17,Maryland,Baltimore,3300 block of Ayrdale Avenue,0,4,N/A
13-Jun-17,Maryland,Baltimore,1200 block of Bonaparte Avenue,2,2,N/A
13-Jun-17,Missouri,Saint Louis (University City),Ferguson Ave and Plymouth Ave,0,4,N/A
11-Jun-17,Illinois,Chicago,3300 block of W Douglas Blvd,0,9,N/A
11-Jun-17,Tennessee,Chattanooga,4272 Bonny Oaks Drive,0,4,N/A
11-Jun-17,Texas,Houston,505 Cypress Station Dr,0,4,N/A
10-Jun-17,Tennessee,Memphis,571 East Street,0,4,N/A
9-Jun-17,Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5,N/A
8-Jun-17,Louisiana,New Orleans,3650 Franklin Ave,0,6,N/A
6-Jun-17,Utah,Sandy,2232 Alta Canyon Drive,3,2,N/A
5-Jun-17,Florida,Orlando,2427 Forsyth Rd,6,0,N/A
3-Jun-17,Missouri,Saint Louis,1600 Block of Union Blvd,2,2,N/A
3-Jun-17,Louisiana,New Orleans,3717 Tulane Ave,3,2,N/A
2-Jun-17,California,Los Angeles,89th St and Broadway,1,3,N/A
2-Jun-17,Texas,Laredo,5301 McPherson Rd,2,3,N/A
1-Jun-17,Missouri,Saint Louis,Beacon Ave and Lillian Ave,3,1,N/A
30-May-17,Ohio,Middletown,1200 Elliott Dr,1,3,N/A
29-May-17,Kentucky,Louisville,231 Witherspoon St,1,3,N/A
28-May-17,Alabama,Phenix City,100 block of 6th Street South,0,12,N/A
28-May-17,New Jersey,Paterson,86 Main Street,1,5,N/A
28-May-17,Mississippi,Moss Point,6103 Hwy. 63,0,5,N/A
27-May-17,New York,New York (Manhattan),318 W 14th St,0,4,N/A
27-May-17,District of Columbia,Washington,100 block of Q St NW,1,7,N/A
27-May-17,Mississippi,Bogue Chitto,2871 Lee Dr,8,1,N/A
26-May-17,Florida,Miami,2730 NW 167th St,0,4,N/A
21-May-17,Iowa,Des Moines,4300 Beaver Dr,1,3,N/A
21-May-17,Arizona,Mesa,441 N Val Vista Dr,0,4,N/A
20-May-17,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10,N/A
16-May-17,South Carolina,Ruffin,21785 Lowcountry Hwy,3,1,N/A
14-May-17,Arkansas,Jonesboro,311 S Main St,1,6,N/A
14-May-17,Illinois,Dolton,14112 Chicago Road,0,5,N/A
14-May-17,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,0,5,N/A
14-May-17,Texas,Fort Worth,8600 block of Calmont Ave,0,4,N/A
10-May-17,New Jersey,Trenton,300 block of Centre St,1,3,N/A
9-May-17,Kansas,Kansas City,1900 block of S. Boeke,3,1,N/A
7-May-17,Illinois,Chicago,2600 block of 46th Pl,2,8,N/A
4-May-17,Michigan,Flint,600 block of Copeman Boulevard,1,3,N/A
2-May-17,Florida,Jacksonville,1566 West 24th Street,1,3,N/A
1-May-17,Texas,Dallas,3200 block of Reynolds Ave,2,3,N/A
30-Apr-17,California,San Diego,9080 Judicial Dr,2,6,N/A
30-Apr-17,Kansas,Topeka,4104 SW 28th,4,1,N/A
30-Apr-17,Florida,Jacksonville,1200 Ken Knight Dr N,0,5,N/A
30-Apr-17,South Carolina,Loris,268 N Sea Green Rd,1,5,N/A
29-Apr-17,California,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,1,3,N/A
29-Apr-17,California,Sacramento,3800 block of 26th Avenue,0,5,N/A
29-Apr-17,California,Whittier,10000 block of Carmentia Rd,1,5,N/A
29-Apr-17,Maryland,Germantown,12839 Kitchen House Way,1,3,N/A
29-Apr-17,California,Compton,2000 Block of N Nestor Ave,0,4,N/A
29-Apr-17,Virginia,Virginia Beach,200 block of 18th St,0,4,N/A
28-Apr-17,Pennsylvania,Chester,5 E 21st St,0,4,N/A
27-Apr-17,New Jersey,Newark,1100 block of S Orange Ave,1,3,N/A
26-Apr-17,Florida,Miami,SW 264th St and 139th Ave,0,4,N/A
21-Apr-17,Florida,Palm Bay,2500 block of Vernon Dr,2,2,N/A
20-Apr-17,Kentucky,Louisville,700 block of East Jacob Street,0,4,N/A
16-Apr-17,California,Vallejo,110 Calhoun Street,0,4,N/A
16-Apr-17,North Carolina,Elizabeth City,611 S Martin St,0,4,N/A
16-Apr-17,Ohio,Columbus,1710 Cleveland Av,0,9,N/A
15-Apr-17,Illinois,Rock Falls,311 W  2nd St,0,4,N/A
15-Apr-17,Pennsylvania,Philadelphia,5900 block of Hammond St,0,4,N/A
15-Apr-17,Indiana,Indianapolis,300 block of S Meridian St,0,4,N/A
15-Apr-17,Alabama,Birmingham,1480 Center Point Pkwy,0,6,N/A
15-Apr-17,Illinois,Harvey,14600 block of Myrtle Avenue,0,4,N/A
15-Apr-17,California,Banning,900 block of N Allen St,0,4,N/A
13-Apr-17,Georgia,Atlanta,30 Anderson Ave SW,1,3,N/A
9-Apr-17,Texas,San Antonio,3100 block of Fidelia Drive,1,3,N/A
9-Apr-17,Indiana,Fort Wayne,9439 Lima Rd,1,3,N/A
7-Apr-17,North Carolina,Hickory,1423 29th Ave Dr NE,3,1,N/A
7-Apr-17,Texas,Houston,3829 Mount Pleasant St,5,0,N/A
7-Apr-17,Minnesota,Saint Paul,1600 block of English St,4,1,N/A
7-Apr-17,Illinois,Chicago,5600 block of W Lake St,1,5,N/A
6-Apr-17,Louisiana,Lake Charles,2000 block of Tulip St,1,3,N/A
3-Apr-17,Pennsylvania,Philadelphia,1100 block of W Stiles St,3,1,N/A
3-Apr-17,Texas,Lubbock,5401 Ave Q,0,7,N/A
2-Apr-17,Illinois,Chicago,3500 block of W Van Buren St,2,4,N/A
2-Apr-17,Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0,5,N/A
1-Apr-17,California,Pittsburg,100 block of Madoline Street,0,5,N/A
1-Apr-17,Florida,Tampa,219 S Howard Ave,1,4,N/A
1-Apr-17,Oklahoma,Oklahoma City,1200 block of N Woodward Avenue,2,3,N/A
30-Mar-17,Illinois,Chicago,2704 E 75th St,4,0,N/A
27-Mar-17,Florida,Sanford,209 Hays Dr,2,4,N/A
26-Mar-17,Ohio,Cleveland,E 75th St,2,2,N/A
26-Mar-17,Texas,Houston,5619 Aldine Bender Rd,2,4,N/A
26-Mar-17,Ohio,Cincinnati,4601 Kellogg Ave,2,15,N/A
25-Mar-17,Tennessee,Knoxville,Minnesota Ave,1,4,N/A
25-Mar-17,Michigan,Detroit,8443 Grand River Ave,1,3,N/A
25-Mar-17,Ohio,Cleveland,E 79th St and Woodland Ave,2,2,N/A
24-Mar-17,California,Fresno,300 block of South Villa Avenue,1,4,N/A
24-Mar-17,Missouri,Saint Louis,5100 block of Palm St,1,6,N/A
22-Mar-17,Wisconsin,Rothschild,1133 E Grand Ave,5,0,N/A
19-Mar-17,Kentucky,Louisville,1512 Portland Avenue,1,5,N/A
18-Mar-17,Michigan,Detroit,16000 block of Rutherford,3,2,N/A
15-Mar-17,Louisiana,Metairie,2508 Pasadena Ave,3,1,N/A
10-Mar-17,Illinois,Chicago,123 E 51st St,2,2,N/A
10-Mar-17,Louisiana,New Orleans (Gentilly),4200 block of Touro St,3,1,N/A
7-Mar-17,Illinois,Chicago,W 76th St and S May St,0,4,N/A
5-Mar-17,Georgia,Columbus,600 block of 32nd Street,0,4,N/A
4-Mar-17,Kansas,Topeka,23rd and Bellview,1,4,N/A
4-Mar-17,California,Sacramento,2500 block of 33rd St,0,4,N/A
3-Mar-17,Pennsylvania,Philadelphia,7165 Germantown Ave,0,4,N/A
3-Mar-17,California,Riverside,8300 block of Trey Ave,0,5,N/A
28-Feb-17,Ohio,Cincinnati,1700 of Casey Dr,0,6,N/A
27-Feb-17,Virginia,Newport News,11810 Fountain Way,0,4,N/A
26-Feb-17,Indiana,Gary,1700 Grant St,1,4,N/A
25-Feb-17,Ohio,Warren,1564 Niles Cortland Rd SE,2,3,N/A
25-Feb-17,Florida,Jacksonville,3604 Moncrief Rd,1,4,N/A
22-Feb-17,New York,Rochester,191 Genesee St,0,4,N/A
21-Feb-17,Ohio,Cleveland,16700 Lorain Ave,0,4,N/A
21-Feb-17,Mississippi,Toomsuba,Butts Road,4,0,N/A
20-Feb-17,Ohio,Cleveland,1082 East 105th Street,0,5,N/A
19-Feb-17,Virginia,Norfolk,Church Street and East Virginia Beach Blvd,1,3,N/A
18-Feb-17,Pennsylvania,Philadelphia,1 block of N Conestoga,0,4,N/A
18-Feb-17,Indiana,South Bend,1000 block of Yukon St,1,3,N/A
15-Feb-17,California,Salinas,30 Soledad Street,0,4,N/A
15-Feb-17,Illinois,Chicago,3949 South Albany Avenue,3,2,N/A
12-Feb-17,Missouri,Caruthersville,908 Truman Blvd,1,6,N/A
12-Feb-17,New York,Newburgh,253 South William Street,1,3,N/A
12-Feb-17,Florida,Greenville,Church Ave and Obadiah St,0,5,N/A
11-Feb-17,Illinois,Chicago,100 block of N Mayfield,1,3,N/A
11-Feb-17,Tennessee,Savannah,Clifton Road and Midway Drive,0,4,N/A
10-Feb-17,Louisiana,New Orleans,2nd St and Dryades St,1,5,N/A
9-Feb-17,Mississippi,Jackson,3150 Robinson Road,4,0,N/A
8-Feb-17,Ohio,Cleveland,16379 Euclid Ave,1,4,N/A
7-Feb-17,South Carolina,Columbia,5500 block of Fairfield Road,0,4,N/A
7-Feb-17,Arkansas,Little Rock,25 Par Drive,1,4,N/A
6-Feb-17,Mississippi,Yazoo City,11th Street,4,0,N/A
31-Jan-17,Tennessee,Memphis,1576 S White Station Rd,0,4,N/A
31-Jan-17,District of Columbia,Washington,2900 block of Martin Luther King Jr Ave,0,4,N/A
30-Jan-17,Minnesota,Minneapolis (Crystal),5410 Lakeland Ave N,0,4,N/A
29-Jan-17,Louisiana,Shreveport,6363 Hearne Ave,1,4,N/A
27-Jan-17,Washington,Bremerton,Tenino Dr W,4,0,N/A
27-Jan-17,Tennessee,Brownsville,221 Morgan St,0,10,N/A
26-Jan-17,Georgia,Albany,1510 Maryland Drive,2,3,N/A
25-Jan-17,Illinois,Chicago,500 block of E 75th St,0,6,N/A
22-Jan-17,Texas,Manvel,200 block of Oak Shore Dr,3,2,N/A
22-Jan-17,Illinois,Chicago (Englewood),1800 block of W 63rd,0,4,N/A
22-Jan-17,Georgia,Atlanta,2841 Greenbriar Pkwy SW,3,1,N/A
21-Jan-17,Georgia,Jonesboro,6510 Tara Blvd,0,6,N/A
21-Jan-17,Florida,Boynton Beach,500 NE 2nd St,0,5,N/A
21-Jan-17,Tennessee,Memphis,500 block of Delta Road,2,2,N/A
20-Jan-17,Mississippi,Como,Smart Road,1,4,N/A
20-Jan-17,California,Fresno,4700 block of E Montecito Ave,0,4,N/A
16-Jan-17,Texas,Houston,8535 Martin Luther King Boulevard,0,4,N/A
16-Jan-17,Florida,Miami,6011 NW 32nd Ave,0,8,N/A
15-Jan-17,Colorado,Capulin,County Road Y,3,1,N/A
15-Jan-17,Mississippi,Magnolia,6000 block of Church Road,1,4,N/A
12-Jan-17,Missouri,Kansas City,8607 E 61st Terrace,3,2,N/A
12-Jan-17,California,Salinas,500 block of Sunrise St,2,2,N/A
11-Jan-17,New Jersey,Newark,Hawkins Street and Christie Street,1,3,N/A
11-Jan-17,Illinois,Chicago,4200 block of S Talman,1,3,N/A
7-Jan-17,Michigan,Flint,2500 block of Churchill Ave,1,3,N/A
6-Jan-17,California,Pasadena,100 block of W Claremont St,2,2,N/A
6-Jan-17,Florida,Fort Lauderdale,100 Terminal Dr,5,6,N/A
4-Jan-17,California,Fontana,14520 Village Drive,3,1,N/A
3-Jan-17,Texas,Allen,500 block of Hawthorne Drive,0,4,N/A
1-Jan-17,Mississippi,Winstonville,114 North Greyer Street,0,5,N/A
1-Jan-17,Texas,Dallas,9220 Skillman Street,1,3,N/A
1-Jan-17,Florida,Miami,8000 block of NW 14th Ave,0,7,N/A
